,text,book,line,meter,first_hemistich,second_hemistich
2301,iliad,4,353,DDDSDA,ὄψεαι αἴ κ ἐθέλῃσθα ,καὶ αἴ κέν τοι τὰ μεμήλῃ
2302,iliad,4,354,DDDDDA,τηλεμάχοιο φίλον ,πατέρα προμάχοισι μιγέντα
2303,iliad,4,355,SDDDDA,τρώων ἱπποδάμων ,σὺ δὲ ταῦτ ἀνεμώλια βάζεις
2304,iliad,4,356,DSDSDA,τὸν δ ἐπιμειδήσας ,προσέφη κρείων ἀγαμέμνων
2305,iliad,4,357,SDDDDA,ὡς γνῶ χωομένοιο ,πάλιν δ ὅ γε λάζετο μῦθον
2306,iliad,4,358,DSDDDA,διογενὲς λαερτιάδη ,πολυμήχαν ὀδυσσεῦ
2307,iliad,4,359,DSDDDA,οὔτέ σε νεικείω ,περιώσιον οὔτε κελεύω
2308,iliad,4,360,DSDSDA,οἶδα γὰρ ὥς τοι θυμὸς ,ἐνὶ στήθεσσι φίλοισιν
2309,iliad,4,361,DDDDDA,ἤπια δήνεα οἶδε ,τὰ γὰρ φρονέεις ἅ τ ἐγώ περ
2310,iliad,4,362,DDDDDA,ἀλλ ἴθι ταῦτα δ ὄπισθεν ,ἀρεσσόμεθ εἴ τι κακὸν νῦν
2311,iliad,4,363,SDDDDA,εἴρηται τὰ δὲ πάντα ,θεοὶ μεταμώνια θεῖεν
2312,iliad,4,364,SSDSDA,ὣς εἰπὼν τοὺς μὲν ,λίπεν αὐτοῦ βῆ δὲ μετ ἄλλους
2313,iliad,4,365,DDDSDA,εὗρε δὲ τυδέος υἱὸν ,ὑπέρθυμον διομήδεα
2314,iliad,4,366,DSDDSA,ἑσταότ ἔν θ ἵπποισι ,καὶ ἅρμασι κολλητοῖσι
2315,iliad,4,367,DSDDDA,πὰρ δέ οἱ ἑστήκει ,σθένελος καπανήϊος υἱός
2316,iliad,4,368,SSDSDA,καὶ τὸν μὲν νείκεσσεν ,ἰδὼν κρείων ἀγαμέμνων
2317,iliad,4,369,SSDDDA,καί μιν φωνήσας ,ἔπεα πτερόεντα προσηύδα
2318,iliad,4,370,SDDDDA,‘ὤ μοι τυδέος υἱὲ ,δαΐφρονος ἱπποδάμοιο
2319,iliad,4,371,SDSDDA,τί πτώσσεις τί δ ὀπιπεύεις ,πολέμοιο γεφύρας
2320,iliad,4,372,SDDSDA,οὐ μὲν τυδέϊ γ ὧδε ,φίλον πτωσκαζέμεν ἦεν
2321,iliad,4,373,NNNNNN,,
2322,iliad,4,374,DDDDDA,ὡς φάσαν οἵ μιν ἴδοντο ,πονεύμενον οὐ γὰρ ἔγωγε
2323,iliad,4,375,SDDSDA,ἤντησ οὐδὲ ἴδον ,περὶ δ ἄλλων φασὶ γενέσθαι
2324,iliad,4,376,SDDSDA,ἤτοι μὲν γὰρ ἄτερ ,πολέμου εἰσῆλθε μυκήνας
2325,iliad,4,377,DDDDDA,ξεῖνος ἅμ ἀντιθέῳ ,πολυνείκεϊ λαὸν ἀγείρων
2326,iliad,4,378,DDDSDA,οἳ δὲ τότ ἐστρατόωνθ ,ἱερὰ πρὸς τείχεα θήβης
2327,iliad,4,379,DSDSDA,καί ῥα μάλα λίσσοντο ,δόμεν κλειτοὺς ἐπικούρους
2328,iliad,4,380,DDDDDA,οἳ δ ἔθελον δόμεναι ,καὶ ἐπῄνεον ὡς ἐκέλευον
2329,iliad,4,381,SSDDDA,ἀλλὰ ζεὺς ἔτρεψε ,παραίσια σήματα φαίνων
2330,iliad,4,382,DSDDDA,οἳ δ ἐπεὶ οὖν ᾤχοντο ,ἰδὲ πρὸ ὁδοῦ ἐγένοντο
2331,iliad,4,383,SSDSDA,ἀσωπὸν δ ἵκοντο ,βαθύσχοινον λεχεποίην
2332,iliad,4,384,SDDSDA,ἔνθ αὖτ ἀγγελίην ,ἐπὶ τυδῆ στεῖλαν ἀχαιοί
2333,iliad,4,385,DDDDDA,αὐτὰρ ὃ βῆ πολέας ,δὲ κιχήσατο καδμεΐωνας
2334,iliad,4,386,DDDDSA,δαινυμένους κατὰ δῶμα ,βίης ἐτεοκληείης
2335,iliad,4,387,SSDSDA,ἔνθ οὐδὲ ξεῖνός ,περ ἐὼν ἱππηλάτα τυδεὺς
2336,iliad,4,388,SDDDSA,τάρβει μοῦνος ἐὼν ,πολέσιν μετὰ καδμείοισιν
2337,iliad,4,389,DSDDDA,ἀλλ ὅ γ ἀεθλεύειν ,προκαλίζετο πάντα δ ἐνίκα
2338,iliad,4,390,DSDDDA,ῥηϊδίως τοίη ,οἱ ἐπίρροθος ἦεν ἀθήνη
2339,iliad,4,391,DDSSDA,οἳ δὲ χολωσάμενοι ,καδμεῖοι κέντορες ἵππων
2340,iliad,4,392,DDDDDA,ἂψ ἄρ ἀνερχομένῳ ,πυκινὸν λόχον εἷσαν ἄγοντες
2341,iliad,4,393,SSDSDA,κούρους πεντήκοντα ,δύω δ ἡγήτορες ἦσαν
2342,iliad,4,394,SDDDDA,μαίων αἱμονίδης ,ἐπιείκελος ἀθανάτοισιν
2343,iliad,4,395,SDDDDA,υἱός τ αὐτοφόνοιο ,μενεπτόλεμος πολυφόντης
2344,iliad,4,396,SSDDDA,τυδεὺς μὲν καὶ τοῖσιν ,ἀεικέα πότμον ἐφῆκε
2345,iliad,4,397,DDDSDA,πάντας ἔπεφν ἕνα δ οἶον ,ἵει οἶκον δὲ νέεσθαι
2346,iliad,4,398,DDDDDA,μαίον ἄρα προέηκε ,θεῶν τεράεσσι πιθήσας
2347,iliad,4,399,DSSDDA,τοῖος ἔην τυδεὺς ,αἰτώλιος ἀλλὰ τὸν υἱὸν
2348,iliad,4,400,DDDDDA,γείνατο εἷο χέρεια ,μάχῃ ἀγορῇ δέ τ ἀμείνω
2349,iliad,4,401,DSDDDA,ὣς φάτο τὸν δ οὔ τι ,προσέφη κρατερὸς διομήδης
2350,iliad,4,402,SDDSSA,αἰδεσθεὶς βασιλῆος ,ἐνιπὴν αἰδοίοιο
2351,iliad,4,403,SDDDDA,τὸν δ υἱὸς καπανῆος ,ἀμείψατο κυδαλίμοιο
2352,iliad,4,404,DSDDDA,ἀτρεΐδη μὴ ψεύδε ,ἐπιστάμενος σάφα εἰπεῖν
2353,iliad,4,405,SDDDDA,ἡμεῖς τοι πατέρων ,μέγ ἀμείνονες εὐχόμεθ εἶναι
2354,iliad,4,406,SSDDDA,ἡμεῖς καὶ θήβης ,ἕδος εἵλομεν ἑπταπύλοιο
2355,iliad,4,407,DDSDDA,παυρότερον λαὸν ἀγαγόνθ ,ὑπὸ τεῖχος ἄρειον
2356,iliad,4,408,DDDSDA,πειθόμενοι τεράεσσι ,θεῶν καὶ ζηνὸς ἀρωγῇ
2357,iliad,4,409,SDDDDA,κεῖνοι δὲ σφετέρῃσιν ,ἀτασθαλίῃσιν ὄλοντο
2358,iliad,4,410,SDDSDA,τὼ μή μοι πατέρας ,ποθ ὁμοίῃ ἔνθεο τιμῇ
2359,iliad,4,411,DDDDDA,τὸν δ ἄρ ὑπόδρα ἰδὼν ,προσέφη κρατερὸς διομήδης
2360,iliad,4,412,DSDDDA,‘τέττα σιωπῇ ἧσο ,ἐμῷ δ ἐπιπείθεο μύθῳ
2361,iliad,4,413,DDDDDA,οὐ γὰρ ἐγὼ νεμεσῶ ,ἀγαμέμνονι ποιμένι λαῶν
2362,iliad,4,414,SDDSDA,ὀτρύνοντι μάχεσθαι ,ἐϋκνήμιδας ἀχαιούς
2363,iliad,4,415,SSDDDA,τούτῳ μὲν γὰρ κῦδος ,ἅμ ἕψεται εἴ κεν ἀχαιοὶ
2364,iliad,4,416,SSDDDA,τρῶας δῃώσωσιν ,ἕλωσί τε ἴλιον ἱρήν
2365,iliad,4,417,SDDSSA,τούτῳ δ αὖ μέγα πένθος ,ἀχαιῶν δῃωθέντων
2366,iliad,4,418,DSDDDA,ἀλλ ἄγε δὴ καὶ νῶϊ ,μεδώμεθα θούριδος ἀλκῆς
2367,iliad,4,419,DDSDDA,ἦ ῥα καὶ ἐξ ὀχέων ,σὺν τεύχεσιν ἆλτο χαμᾶζε
2368,iliad,4,420,SDDSDA,δεινὸν δ ἔβραχε χαλκὸς ,ἐπὶ στήθεσσιν ἄνακτος
2369,iliad,4,421,DDDDDA,ὀρνυμένου ὑπό κεν ,ταλασίφρονά περ δέος εἷλεν
2370,iliad,4,422,DDDDDA,ὡς δ ὅτ ἐν αἰγιαλῷ ,πολυηχέϊ κῦμα θαλάσσης
2371,iliad,4,423,DDDDSA,ὄρνυτ ἐπασσύτερον ,ζεφύρου ὕπο κινήσαντος
2372,iliad,4,424,SSDDDA,πόντῳ μέν τε πρῶτα ,κορύσσεται αὐτὰρ ἔπειτα
2373,iliad,4,425,SDDDDA,χέρσῳ ῥηγνύμενον ,μεγάλα βρέμει ἀμφὶ δέ τ ἄκρας
2374,iliad,4,426,DDDSDA,κυρτὸν ἐὸν κορυφοῦται ,ἀποπτύει δ ἁλὸς ἄχνην
2375,iliad,4,427,DDDSDA,ὣς τότ ἐπασσύτεραι ,δαναῶν κίνυντο φάλαγγες
2376,iliad,4,428,DDDDDA,νωλεμέως πόλεμον ,δέ κέλευε δὲ οἷσιν ἕκαστος
2377,iliad,4,429,DSDDDA,ἡγεμόνων οἳ δ ἄλλοι ,ἀκὴν ἴσαν οὐδέ κε φαίης
2378,iliad,4,430,SDDSDA,τόσσον λαὸν ἕπεσθαι ,ἔχοντ ἐν στήθεσιν αὐδήν
2379,iliad,4,431,SDSDDA,σιγῇ δειδιότες ,σημάντορας ἀμφὶ δὲ πᾶσι
2380,iliad,4,432,DDDDDA,τεύχεα ποικίλ ἔλαμπε ,τὰ εἱμένοι ἐστιχόωντο
2381,iliad,4,433,SDDDDA,τρῶες δ ὥς τ ὄϊες ,πολυπάμονος ἀνδρὸς ἐν αὐλῇ
2382,iliad,4,434,DSDDDA,μυρίαι ἑστήκασιν ,ἀμελγόμεναι γάλα λευκὸν
2383,iliad,4,435,SDDSDA,ἀζηχὲς μεμακυῖαι ,ἀκούουσαι ὄπα ἀρνῶν
2384,iliad,4,436,SDDDDA,ὣς τρώων ἀλαλητὸς ,ἀνὰ στρατὸν εὐρὺν ὀρώρει
2385,iliad,4,437,SSDDDA,οὐ γὰρ πάντων ἦεν ,ὁμὸς θρόος οὐδ ἴα γῆρυς
2386,iliad,4,438,SDDSDA,ἀλλὰ γλῶσσα μέμικτο ,πολύκλητοι δ ἔσαν ἄνδρες
2387,iliad,4,439,DDSSDA,ὄρσε δὲ τοὺς μὲν ἄρης ,τοὺς δὲ γλαυκῶπις ἀθήνη
2388,iliad,4,440,NNNNNN,,
2389,iliad,4,441,DDDSDA,ἄρεος ἀνδροφόνοιο ,κασιγνήτη ἑτάρη τε
2390,iliad,4,442,DSDDDA,ἥ τ ὀλίγη μὲν πρῶτα ,κορύσσεται αὐτὰρ ἔπειτα
2391,iliad,4,443,DSDDDA,οὐρανῷ ἐστήριξε ,κάρη καὶ ἐπὶ χθονὶ βαίνει
2392,iliad,4,444,SDDDDA,ἥ σφιν καὶ τότε νεῖκος ,ὁμοίϊον ἔμβαλε μέσσῳ
2393,iliad,4,445,DDDSDA,ἐρχομένη καθ ὅμιλον ,ὀφέλλουσα στόνον ἀνδρῶν
2394,iliad,4,446,DSDDDA,οἳ δ ὅτε δή ῥ ἐς χῶρον ,ἕνα ξυνιόντες ἵκοντο
2395,iliad,4,447,SDSDDA,σύν ῥ ἔβαλον ῥινούς ,σὺν δ ἔγχεα καὶ μένε ἀνδρῶν
2396,iliad,4,448,DSDDDA,χαλκεοθωρήκων ,ἀτὰρ ἀσπίδες ὀμφαλόεσσαι
2397,iliad,4,449,SSDDDA,ἔπληντ ἀλλήλῃσι ,πολὺς δ ὀρυμαγδὸς ὀρώρει
2398,iliad,4,450,DSDSDA,ἔνθα δ ἅμ οἰμωγή ,τε καὶ εὐχωλὴ πέλεν ἀνδρῶν
2399,iliad,4,451,SDDDDA,ὀλλύντων τε καὶ ὀλλυμένων ,ῥέε δ αἵματι γαῖα
2400,iliad,4,452,DSDDDA,ὡς δ ὅτε χείμαρροι ,ποταμοὶ κατ ὄρεσφι ῥέοντες
2401,iliad,4,453,SSSDDA,ἐς μισγάγκειαν ,συμβάλλετον ὄβριμον ὕδωρ
2402,iliad,4,454,SDSSDA,κρουνῶν ἐκ μεγάλων ,κοίλης ἔντοσθε χαράδρης
2403,iliad,4,455,DDDDDA,τῶν δέ τε τηλόσε δοῦπον ,ἐν οὔρεσιν ἔκλυε ποιμήν
2404,iliad,4,456,SDDDDA,ὣς τῶν μισγομένων ,γένετο ἰαχή τε πόνος τε
2405,iliad,4,457,SDSDDA,πρῶτος δ ἀντίλοχος ,τρώων ἕλεν ἄνδρα κορυστὴν
2406,iliad,4,458,DDDDDA,ἐσθλὸν ἐνὶ προμάχοισι ,θαλυσιάδην ἐχέπωλον
2407,iliad,4,459,DSDDDA,τόν ῥ ἔβαλε πρῶτος ,κόρυθος φάλον ἱπποδασείης
2408,iliad,4,460,DSDDDA,ἐν δὲ μετώπῳ πῆξε ,πέρησε δ ἄρ ὀστέον εἴσω
2409,iliad,4,461,SSSDDA,αἰχμὴ χαλκείη ,τὸν δὲ σκότος ὄσσε κάλυψεν
2410,iliad,4,462,DDDDSA,ἤριπε δ ὡς ὅτε πύργος ,ἐνὶ κρατερῇ ὑσμίνῃ
2411,iliad,4,463,DDDSDA,τὸν δὲ πεσόντα ποδῶν ,ἔλαβε κρείων ἐλεφήνωρ
2412,iliad,4,464,SDDSDA,χαλκωδοντιάδης ,μεγαθύμων ἀρχὸς ἀβάντων
2413,iliad,4,465,DDDDDA,ἕλκε δ ὑπ ἐκ βελέων ,λελιημένος ὄφρα τάχιστα
2414,iliad,4,466,DSDDDA,τεύχεα συλήσειε ,μίνυνθα δέ οἱ γένεθ ὁρμή
2415,iliad,4,467,SDDDDA,νεκρὸν γὰρ ἐρύοντα ,ἰδὼν μεγάθυμος ἀγήνωρ
2416,iliad,4,468,DSDDDA,πλευρά τά οἱ κύψαντι ,παρ ἀσπίδος ἐξεφαάνθη
2417,iliad,4,469,SSSDDA,οὔτησε ξυστῷ ,χαλκήρεϊ λῦσε δὲ γυῖα
2418,iliad,4,470,SDDSDA,ὣς τὸν μὲν λίπε θυμός ,ἐπ αὐτῷ δ ἔργον ἐτύχθη
2419,iliad,4,471,DSDSDA,ἀργαλέον τρώων ,καὶ ἀχαιῶν οἳ δὲ λύκοι ὣς
2420,iliad,4,472,SDDSDA,ἀλλήλοις ἐπόρουσαν ,ἀνὴρ δ ἄνδρ ἐδνοπάλιζεν
2421,iliad,4,473,NNNNNN,,
2422,iliad,4,474,DDDDDA,ἠΐθεον θαλερὸν ,σιμοείσιον ὅν ποτε μήτηρ
2423,iliad,4,475,SDDSDA,ἴδηθεν κατιοῦσα ,παρ ὄχθῃσιν σιμόεντος
2424,iliad,4,476,DDDDDA,γείνατ ἐπεί ῥα τοκεῦσιν ,ἅμ ἕσπετο μῆλα ἰδέσθαι
2425,iliad,4,477,DDDDDA,τοὔνεκά μιν κάλεον ,σιμοείσιον οὐδὲ τοκεῦσι
2426,iliad,4,478,DDDDDA,θρέπτρα φίλοις ἀπέδωκε ,μινυνθάδιος δέ οἱ αἰὼν
2427,iliad,4,479,DSDSDA,ἔπλεθ ὑπ αἴαντος ,μεγαθύμου δουρὶ δαμέντι
2428,iliad,4,480,SDDSDA,πρῶτον γάρ μιν ἰόντα ,βάλε στῆθος παρὰ μαζὸν
2429,iliad,4,481,DSDSDA,δεξιόν ἀντικρὺ ,δὲ δι ὤμου χάλκεον ἔγχος
2430,iliad,4,482,DDDDSA,ἦλθεν ὁ δ ἐν κονίῃσι ,χαμαὶ πέσεν αἴγειρος ὣς
2431,iliad,4,483,DDDDDA,ἥ ῥά τ ἐν εἱαμενῇ ,ἕλεος μεγάλοιο πεφύκει
2432,iliad,4,484,DDDDDA,λείη ἀτάρ τέ οἱ ὄζοι ,ἐπ ἀκροτάτῃ πεφύασι
2433,iliad,4,485,SDDSDA,τὴν μέν θ ἁρματοπηγὸς ,ἀνὴρ αἴθωνι σιδήρῳ
2434,iliad,4,486,DDSDDA,ἐξέταμ ὄφρα ἴτυν ,κάμψῃ περικαλλέϊ δίφρῳ
2435,iliad,4,487,SDSDDA,ἣ μέν τ ἀζομένη ,κεῖται ποταμοῖο παρ ὄχθας
2436,iliad,4,488,DDDDDA,τοῖον ἄρ ἀνθεμίδην ,σιμοείσιον ἐξενάριξεν
2437,iliad,4,489,SDSDDA,αἴας διογενής ,τοῦ δ ἄντιφος αἰολοθώρηξ
2438,iliad,4,490,DDDDDA,πριαμίδης καθ ὅμιλον ,ἀκόντισεν ὀξέϊ δουρί
2439,iliad,4,491,DDDDDA,τοῦ μὲν ἅμαρθ ὃ δὲ λεῦκον ,ὀδυσσέος ἐσθλὸν ἑταῖρον
2440,iliad,4,492,SSDDDA,βεβλήκει βουβῶνα ,νέκυν ἑτέρωσ ἐρύοντα
2441,iliad,4,493,DSSDDA,ἤριπε δ ἀμφ αὐτῷ ,νεκρὸς δέ οἱ ἔκπεσε χειρός
2442,iliad,4,494,DDDDDA,τοῦ δ ὀδυσεὺς μάλα θυμὸν ,ἀποκταμένοιο χολώθη
2443,iliad,4,495,DDDDDA,βῆ δὲ διὰ προμάχων ,κεκορυθμένος αἴθοπι χαλκῷ
2444,iliad,4,496,DDDDDA,στῆ δὲ μάλ ἐγγὺς ἰὼν ,καὶ ἀκόντισε δουρὶ φαεινῷ
2445,iliad,4,497,DSDSDA,ἀμφὶ ἓ παπτήνας ,ὑπὸ δὲ τρῶες κεκάδοντο
2446,iliad,4,498,DSDDDA,ἀνδρὸς ἀκοντίσσαντος ,ὃ δ οὐχ ἅλιον βέλος ἧκεν
2447,iliad,4,499,SDDDDA,ἀλλ υἱὸν πριάμοιο ,νόθον βάλε δημοκόωντα
2448,iliad,4,500,DDDSSA,ὅς οἱ ἀβυδόθεν ἦλθε ,παρ ἵππων ὠκειάων
2449,iliad,4,501,DDDDDA,τόν ῥ ὀδυσεὺς ἑτάροιο ,χολωσάμενος βάλε δουρὶ
2450,iliad,4,502,SDDDDA,κόρσην ἣ δ ἑτέροιο ,διὰ κροτάφοιο πέρησεν
2451,iliad,4,503,SSSDDA,αἰχμὴ χαλκείη ,τὸν δὲ σκότος ὄσσε κάλυψε
2452,iliad,4,504,SDDDDA,δούπησεν δὲ πεσών ,ἀράβησε δὲ τεύχε ἐπ αὐτῷ
2453,iliad,4,505,SDDSDA,χώρησαν δ ὑπό τε ,πρόμαχοι καὶ φαίδιμος ἕκτωρ
2454,iliad,4,506,SDDDDA,ἀργεῖοι δὲ μέγα ,ἴαχον ἐρύσαντο δὲ νεκρούς
2455,iliad,4,507,SDDDDA,ἴθυσαν δὲ πολὺ ,προτέρω νεμέσησε δ ἀπόλλων
2456,iliad,4,508,DDSDDA,περγάμου ἐκκατιδών ,τρώεσσι δὲ κέκλετ ἀΰσας
2457,iliad,4,509,SDSSDA,ὄρνυσθ ἱππόδαμοι ,τρῶες μηδ εἴκετε χάρμης
2458,iliad,4,510,SDDSDA,ἀργείοις ἐπεὶ οὔ ,σφι λίθος χρὼς οὐδὲ σίδηρος
2459,iliad,4,511,DSDDDA,χαλκὸν ἀνασχέσθαι ,ταμεσίχροα βαλλομένοισιν
2460,iliad,4,512,SDDDDA,οὐ μὰν οὐδ ἀχιλεὺς ,θέτιδος πάϊς ἠϋκόμοιο
2461,iliad,4,513,DDDSDA,μάρναται ἀλλ ἐπὶ νηυσὶ ,χόλον θυμαλγέα πέσσει
2462,iliad,4,514,DDSDDA,ὣς φάτ ἀπὸ πτόλιος ,δεινὸς θεός αὐτὰρ ἀχαιοὺς
2463,iliad,4,515,DDSSDA,ὦρσε διὸς θυγάτηρ ,κυδίστη τριτογένεια
2464,iliad,4,516,DDDDDA,ἐρχομένη καθ ὅμιλον ,ὅθι μεθιέντας ἴδοιτο
2465,iliad,4,517,DSSDDA,ἔνθ ἀμαρυγκείδην ,διώρεα μοῖρα πέδησε
2466,iliad,4,518,DSDDDA,χερμαδίῳ γὰρ βλῆτο ,παρὰ σφυρὸν ὀκριόεντι
2467,iliad,4,519,SDDSDA,κνήμην δεξιτερήν ,βάλε δὲ θρῃκῶν ἀγὸς ἀνδρῶν
2468,iliad,4,520,SDDDSA,πείρως ἰμβρασίδης ,ὃς ἄρ αἰνόθεν εἰληλούθει
2469,iliad,4,521,DDDDDA,ἀμφοτέρω δὲ τένοντε ,καὶ ὀστέα λᾶας ἀναιδὴς
2470,iliad,4,522,DSDDDA,ἄχρις ἀπηλοίησεν ,ὃ δ ὕπτιος ἐν κονίῃσι
2471,iliad,4,523,DSDDDA,κάππεσεν ἄμφω χεῖρε ,φίλοις ἑτάροισι πετάσσας
2472,iliad,4,524,DSDDDA,θυμὸν ἀποπνείων ,ὃ δ ἐπέδραμεν ὅς ῥ ἔβαλέν περ
2473,iliad,4,525,DDDDDA,πείροος οὖτα δὲ δουρὶ ,παρ ὀμφαλόν ἐκ δ ἄρα πᾶσαι
2474,iliad,4,526,DDSDDA,χύντο χαμαὶ χολάδες ,τὸν δὲ σκότος ὄσσε κάλυψε
2475,iliad,4,527,DSDDDA,τὸν δὲ θόας αἰτωλὸς ,ἀπεσσύμενον βάλε δουρὶ
2476,iliad,4,528,DSDSDA,στέρνον ὑπὲρ μαζοῖο ,πάγη δ ἐν πνεύμονι χαλκός
2477,iliad,4,529,DDDSDA,ἀγχίμολον δέ οἱ ἦλθε ,θόας ἐκ δ ὄβριμον ἔγχος
2478,iliad,4,530,DSDDDA,ἐσπάσατο στέρνοιο ,ἐρύσσατο δὲ ξίφος ὀξύ
2479,iliad,4,531,DDDSDA,τῷ ὅ γε γαστέρα τύψε ,μέσην ἐκ δ αἴνυτο θυμόν
2480,iliad,4,532,DDDSDA,τεύχεα δ οὐκ ἀπέδυσε ,περίστησαν γὰρ ἑταῖροι
2481,iliad,4,533,DDDDDA,θρήϊκες ἀκρόκομοι ,δολίχ ἔγχεα χερσὶν ἔχοντες
2482,iliad,4,534,DDDSDA,οἵ ἑ μέγαν περ ἐόντα ,καὶ ἴφθιμον καὶ ἀγαυὸν
2483,iliad,4,535,DSDDDA,ὦσαν ἀπὸ σφείων ,ὃ δὲ χασσάμενος πελεμίχθη
2484,iliad,4,536,SDDSDA,ὣς τώ γ ἐν κονίῃσι ,παρ ἀλλήλοισι τετάσθην
2485,iliad,4,537,DSDSDA,ἤτοι ὃ μὲν θρῃκῶν ,ὃ δ ἐπειῶν χαλκοχιτώνων
2486,iliad,4,538,DSDSDA,ἡγεμόνες πολλοὶ ,δὲ περὶ κτείνοντο καὶ ἄλλοι
2487,iliad,4,539,DDDDDA,ἔνθά κεν οὐκέτι ἔργον ,ἀνὴρ ὀνόσαιτο μετελθών
2488,iliad,4,540,DSDDDA,ὅς τις ἔτ ἄβλητος ,καὶ ἀνούτατος ὀξέϊ χαλκῷ
2489,iliad,4,541,SDDDDA,δινεύοι κατὰ μέσσον ,ἄγοι δέ ἑ παλλὰς ἀθήνη
2490,iliad,4,542,DSDDDA,χειρὸς ἑλοῦσ αὐτὰρ ,βελέων ἀπερύκοι ἐρωήν
2491,iliad,4,543,SSDSDA,πολλοὶ γὰρ τρώων ,καὶ ἀχαιῶν ἤματι κείνῳ
2492,iliad,4,544,DDDSDA,πρηνέες ἐν κονίῃσι ,παρ ἀλλήλοισι τέταντο
2493,iliad,5,1,SDDDDA,ἔνθ αὖ τυδεΐδῃ ,διομήδεϊ παλλὰς ἀθήνη
2494,iliad,5,2,DSDSDA,δῶκε μένος καὶ θάρσος ,ἵν ἔκδηλος μετὰ πᾶσιν
2495,iliad,5,3,SDDDDA,ἀργείοισι γένοιτο ,ἰδὲ κλέος ἐσθλὸν ἄροιτο
2496,iliad,5,4,DDDDDA,δαῖέ οἱ ἐκ κόρυθός ,τε καὶ ἀσπίδος ἀκάματον πῦρ
2497,iliad,5,5,DSDDDA,ἀστέρ ὀπωρινῷ ,ἐναλίγκιον ὅς τε μάλιστα
2498,iliad,5,6,SSDDDA,λαμπρὸν παμφαίνῃσι ,λελουμένος ὠκεανοῖο
2499,iliad,5,7,SSSDDA,τοῖόν οἱ πῦρ δαῖεν ἀπὸ ,κρατός τε καὶ ὤμων
2500,iliad,5,8,DDDSDA,ὦρσε δέ μιν κατὰ μέσσον ,ὅθι πλεῖστοι κλονέοντο
2501,iliad,5,9,DSDSDA,ἦν δέ τις ἐν τρώεσσι ,δάρης ἀφνειὸς ἀμύμων
2502,iliad,5,10,SSDDDA,ἱρεὺς ἡφαίστοιο ,δύω δέ οἱ υἱέες ἤστην
2503,iliad,5,11,SSDSDA,φηγεὺς ἰδαῖός ,τε μάχης εὖ εἰδότε πάσης
2504,iliad,5,12,DSDDSA,τώ οἱ ἀποκρινθέντε ,ἐναντίω ὁρμηθήτην
2505,iliad,5,13,DSDDDA,τὼ μὲν ἀφ ἵπποιιν ,ὃ δ ἀπὸ χθονὸς ὄρνυτο πεζός
2506,iliad,5,14,DDDSDA,οἳ δ ὅτε δὴ σχεδὸν ἦσαν ,ἐπ ἀλλήλοισιν ἰόντες
2507,iliad,5,15,SDDDDA,φηγεύς ῥα πρότερος ,προΐει δολιχόσκιον ἔγχος
2508,iliad,5,16,DDDDDA,τυδεΐδεω δ ὑπὲρ ὦμον ,ἀριστερὸν ἤλυθ ἀκωκὴ
2509,iliad,5,17,DDDDDA,ἔγχεος οὐδ ἔβαλ αὐτόν ,ὃ δ ὕστερος ὄρνυτο χαλκῷ
2510,iliad,5,18,DSDDDA,τυδεΐδης τοῦ δ οὐχ ,ἅλιον βέλος ἔκφυγε χειρός
2511,iliad,5,19,DSDDDA,ἀλλ ἔβαλε στῆθος ,μεταμάζιον ὦσε δ ἀφ ἵππων
2512,iliad,5,20,SDDDDA,ἰδαῖος δ ἀπόρουσε ,λιπὼν περικαλλέα δίφρον
2513,iliad,5,21,SDDSDA,οὐδ ἔτλη περιβῆναι ,ἀδελφειοῦ κταμένοιο
2514,iliad,5,22,DDDDDA,οὐδὲ γὰρ οὐδέ κεν αὐτὸς ,ὑπέκφυγε κῆρα μέλαιναν
2515,iliad,5,23,SDDDDA,ἀλλ ἥφαιστος ἔρυτο ,σάωσε δὲ νυκτὶ καλύψας
2516,iliad,5,24,SSDDDA,ὡς δή οἱ μὴ πάγχυ ,γέρων ἀκαχήμενος εἴη
2517,iliad,5,25,SDDSDA,ἵππους δ ἐξελάσας ,μεγαθύμου τυδέος υἱὸς
2518,iliad,5,26,DSDSDA,δῶκεν ἑταίροισιν ,κατάγειν κοίλας ἐπὶ νῆας
2519,iliad,5,27,SDDDDA,τρῶες δὲ μεγάθυμοι ,ἐπεὶ ἴδον υἷε δάρητος
2520,iliad,5,28,DDSDDA,τὸν μὲν ἀλευάμενον ,τὸν δὲ κτάμενον παρ ὄχεσφι
2521,iliad,5,29,DSDSDA,πᾶσιν ὀρίνθη θυμός ,ἀτὰρ γλαυκῶπις ἀθήνη
2522,iliad,5,30,DDDSDA,χειρὸς ἑλοῦσ ἐπέεσσι ,προσηύδα θοῦρον ἄρηα
2523,iliad,5,31,NNNNNN,,
2524,iliad,5,32,SSDSDA,οὐκ ἂν δὴ τρῶας ,μὲν ἐάσαιμεν καὶ ἀχαιοὺς
2525,iliad,5,33,SDDSDA,μάρνασθ ὁπποτέροισι ,πατὴρ ζεὺς κῦδος ὀρέξῃ
2526,iliad,5,34,DSDDDA,νῶϊ δὲ χαζώμεσθα ,διὸς δ ἀλεώμεθα μῆνιν
2527,iliad,5,35,SDSDDA,ὣς εἰποῦσα μάχης ,ἐξήγαγε θοῦρον ἄρηα
2528,iliad,5,36,NNNNNN,,
